City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Lincoln,US,40.8,-96.67,81.0,42,1,10.29,clear sky
290,Vangaindrano,MG,-23.35,47.6,67.71,89,74,6.53,light rain
291,Bintulu,MY,3.17,113.03,77.0,88,40,5.82,scattered clouds
292,Ginir,ET,7.13,40.7,62.83,68,0,4.94,clear sky
293,Goderich,CA,43.75,-81.72,66.99,61,15,13.4,few clouds
294,Lanzhou,CN,36.06,103.79,53.01,84,89,5.7,overcast clouds
295,Qasigiannguit,GL,68.82,-51.19,32.0,86,0,3.36,clear sky
296,Simnas,LT,54.4,23.65,60.8,82,90,5.82,overcast clouds
297,Tucuman,AR,-26.82,-65.22,71.6,19,77,13.87,broken clouds
298,Karratha,AU,-20.74,116.85,76.01,37,0,8.3,clear sky
299,Lieksa,FI,63.32,30.02,49.68,76,0,15.14,clear sky
300,Angoche,MZ,-16.23,39.91,74.23,80,24,10.54,few clouds
301,Kulhudhuffushi,MV,6.62,73.07,81.59,79,85,11.95,overcast clouds
302,Santa Rosalia,MX,27.32,-112.28,87.64,59,0,9.66,clear sky
303,Takoradi,GH,4.88,-1.76,75.29,91,41,8.43,scattered clouds
304,Krasnoye,UA,49.91,24.61,55.4,93,30,3.31,scattered clouds
305,Manggar,ID,-2.88,108.27,79.11,81,77,5.82,broken clouds
306,Ulladulla,AU,-35.35,150.47,53.6,100,90,3.69,overcast clouds
307,Bianzhuang,CN,34.85,118.04,65.82,94,94,3.85,overcast clouds
308,Bud,US,39.45,-86.18,77.0,57,0,9.84,clear sky
309,Santa Rosa,PH,14.31,121.11,82.4,78,40,8.05,heavy intensity rain
310,Taguatinga,BR,-12.39,-46.57,85.55,32,88,9.22,overcast clouds
311,Smithers,CA,54.78,-127.17,53.6,71,90,3.36,overcast clouds
312,Namatanai,PG,-3.67,152.43,80.64,79,60,8.16,broken clouds
313,Hambantota,LK,6.12,81.12,80.1,81,98,16.8,overcast clouds
314,Dasoguz,TM,41.84,59.97,64.4,48,0,4.7,clear sky
315,Besikduzu,TR,41.05,39.23,75.2,88,40,3.36,scattered clouds
316,Vanavara,RU,60.34,102.28,50.25,77,100,3.6,overcast clouds
317,Sovetskiy,RU,61.36,63.58,51.75,85,100,9.1,light rain
318,Alice Springs,AU,-23.7,133.88,55.4,54,0,4.7,clear sky
319,Saquarema,BR,-22.92,-42.51,78.8,69,0,18.34,clear sky
320,Praia,CV,14.92,-23.51,79.97,82,91,6.98,overcast clouds
321,Mingshui,CN,36.72,117.5,75.0,66,100,6.64,light rain
322,Atocha,BO,-20.93,-66.23,44.78,73,100,3.58,overcast clouds
323,Lagos,NG,6.58,3.75,75.79,91,100,5.1,overcast clouds
324,Emba,KZ,48.83,58.14,62.96,36,100,10.09,overcast clouds
325,Gornyak,RU,50.99,81.47,57.65,39,100,4.34,overcast clouds
326,Valparaiso,CL,-33.04,-71.63,60.8,58,0,10.29,clear sky
327,Mehran,IR,33.12,46.16,84.2,10,0,11.41,clear sky
328,Dombarovskiy,RU,50.76,59.54,59.05,41,100,8.19,overcast clouds
329,Ixtapa,MX,20.7,-105.2,88.0,66,20,9.17,few clouds
330,Forbes,AU,-33.38,148.02,46.0,88,0,4.12,clear sky
331,Skibbereen,IE,51.55,-9.27,59.0,100,75,11.41,broken clouds
332,Tazovskiy,RU,67.47,78.7,46.33,82,100,13.24,overcast clouds
333,Praia Da Vitoria,PT,38.73,-27.07,66.99,55,40,16.55,scattered clouds
334,Celestun,MX,20.87,-90.4,86.67,68,47,10.13,scattered clouds
335,Maceio,BR,-9.67,-35.74,73.4,94,75,14.99,mist
336,Krasnaya Gora,RU,53.0,31.6,62.6,72,40,8.95,scattered clouds
337,Tabou,CI,4.42,-7.35,76.06,87,92,9.46,overcast clouds
338,Abalak,RU,58.13,68.59,48.67,93,93,3.2,overcast clouds
339,Wakkanai,JP,45.41,141.67,59.59,81,76,6.06,broken clouds
340,Puerto Montt,CL,-41.47,-72.94,55.4,62,75,10.29,broken clouds
341,Druzhba,UA,52.04,33.95,59.63,84,82,10.02,broken clouds
342,Suifenhe,CN,44.4,131.17,48.88,98,100,2.42,overcast clouds
343,Cap Malheureux,MU,-19.98,57.61,68.0,55,11,8.99,few clouds
344,Saint Anthony,US,45.02,-93.22,79.0,60,1,10.29,clear sky
345,Puri,IN,19.8,85.85,82.4,94,40,4.7,haze
346,Coahuayana,MX,18.73,-103.68,82.4,78,40,6.38,scattered clouds
347,Niksic,ME,42.77,18.94,84.2,60,0,1.12,clear sky
348,Mount Gambier,AU,-37.83,140.77,46.4,93,90,5.82,overcast clouds
349,Zhigansk,RU,66.77,123.37,42.22,94,6,11.52,clear sky
350,Cerrito,CO,6.84,-72.69,78.8,69,40,3.36,moderate rain
351,Namtsy,RU,62.72,129.67,42.8,75,0,8.95,clear sky
352,Terra Santa,BR,-2.1,-56.49,92.5,41,100,3.24,overcast clouds
353,Sinjar,IQ,36.32,41.88,84.31,23,0,11.32,clear sky
354,Verkhnedneprovskiy,RU,54.98,33.35,51.62,96,1,7.09,clear sky
355,Cabo San Lucas,MX,22.89,-109.91,89.6,70,20,10.29,few clouds
356,Petauke,ZM,-14.24,31.33,69.03,40,2,5.57,clear sky
357,Jizan,SA,17.33,42.67,91.4,75,40,6.93,scattered clouds
358,Aklavik,CA,68.22,-135.01,42.8,75,75,9.17,broken clouds
359,Gerardmer,FR,48.07,6.88,71.6,60,42,9.17,scattered clouds
360,Gizo,SB,-8.1,156.84,82.69,73,100,8.05,light rain
361,Bundaberg,AU,-24.85,152.35,64.0,93,13,6.93,few clouds
362,Jipijapa,EC,-1.33,-80.58,86.0,66,40,13.87,scattered clouds
363,Boone,US,39.03,-92.33,79.0,56,0,3.0,clear sky
