City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
265,Biltine,TD,84.13,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
271,Sohag,EG,89.6,clear sky,26.56,31.69,Civil Registry - Sohag 1
277,Coremas,BR,83.19,overcast clouds,-7.01,-37.95,Pousada Pôr do Sol
279,Kudahuvadhoo,MV,82.35,clear sky,2.67,72.89,Kudahuvadhoo Retreat
280,Touros,BR,78.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
283,Nouadhibou,MR,82.4,clear sky,20.93,-17.03,El Medina
288,Alofi,NU,75.2,overcast clouds,-19.06,-169.92,Taloa Heights
289,Lincoln,US,81.0,clear sky,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
291,Bintulu,MY,77.0,scattered clouds,3.17,113.03,900 Boutique INN
298,Karratha,AU,76.01,clear sky,-20.74,116.85,ibis Styles Karratha
301,Kulhudhuffushi,MV,81.59,overcast clouds,6.62,73.07,Haajy Guest House 1
302,Santa Rosalia,MX,87.64,clear sky,27.32,-112.28,Hotel Las Casitas Santa Rosalia
303,Takoradi,GH,75.29,scattered clouds,4.88,-1.76,Raybow International Hotel
305,Manggar,ID,79.11,broken clouds,-2.88,108.27,Guest Hotel
308,Bud,US,77.0,clear sky,39.45,-86.18,Madsion Scouts Camp
309,Santa Rosa,PH,82.4,heavy intensity rain,14.31,121.11,Erlyn’s Sta Rosa City Home
310,Taguatinga,BR,85.55,overcast clouds,-12.39,-46.57,
312,Namatanai,PG,80.64,broken clouds,-3.67,152.43,Namatanai Hotel
313,Hambantota,LK,80.1,overcast clouds,6.12,81.12,Bungalow 63
315,Besikduzu,TR,75.2,scattered clouds,41.05,39.23,YKT
319,Saquarema,BR,78.8,clear sky,-22.92,-42.51,Hotel Fazenda Sol e Lua
320,Praia,CV,79.97,overcast clouds,14.92,-23.51,LT Aparthotel
321,Mingshui,CN,75.0,light rain,36.72,117.5,Grace Inn Zhangqiu Station Avenue Branch
323,Lagos,NG,75.79,overcast clouds,6.58,3.75,
327,Mehran,IR,84.2,clear sky,33.12,46.16,بوتیک زنانه بهار
329,Ixtapa,MX,88.0,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
334,Celestun,MX,86.67,scattered clouds,20.87,-90.4,Posada Lilia
337,Tabou,CI,76.06,overcast clouds,4.42,-7.35,hotêl doufoulougou
344,Saint Anthony,US,79.0,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
345,Puri,IN,82.4,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
346,Coahuayana,MX,82.4,scattered clouds,18.73,-103.68,Hotel Los Arcos
